Rank,Link,Type,Title,Outlet,Year,Excerpt
1,https://economicsecurityproject.org/wp-content/uploads/251022-Affordability-Framework.pdf,,,,,"With Becky Chao, wy current work at the Economic Security Project. It makes the case that the cost of living is the defining economic problem of our moment, and that fixing it means confronting both how markets and incomes are broken."
2,https://rooseveltinstitute.org/publications/supply-side-expansion-has-driven-the-decline-in-inflation/,,,,,"I spent a lot of time in the trenches of the inflation debates. This shows that 2023's disinflation came from supply recovering rather than the economy weakening, the empirical core of the soft-landing case I argued inside and outside government."
3,https://www.dissentmagazine.org/online_articles/karl-polanyi-explainer-great-transformation-bernie-sanders,,,,,"Co-authored with Patrick Iber, tying the energy of the Sanders campaign to the idea of decommodification, the question of what we choose to keep out of the market. It led to my book and still works as a short introduction to my political project."
4,https://rooseveltinstitute.org/publications/rewriting-the-rules-of-the-american-economy/,,,,,"Co-authored with Joseph Stiglitz and others, this is the report that helped recast American inequality as the product of rules we write rather than forces we endure, and pushed the economic debates toward root causes."
5,https://www.vox.com/2015/7/21/9004155/dodd-frank-explainer,,,,,"My policy career began in financial reform in the wake of the 2008 crisis and Great Recession, work that fed into the Dodd-Frank Act. This is my later guide to what the law actually did."
