date,urate,year,month
9/1/63,5.5,1963,9
10/1/63,5.5,1963,10
11/1/63,5.7,1963,11
12/1/63,5.5,1963,12
1/1/64,5.6,1964,1
2/1/64,5.4,1964,2
3/1/64,5.4,1964,3
4/1/64,5.3,1964,4
5/1/64,5.1,1964,5
6/1/64,5.2,1964,6
7/1/64,4.9,1964,7
8/1/64,5,1964,8
9/1/64,5.1,1964,9
10/1/64,5.1,1964,10
11/1/64,4.8,1964,11
12/1/64,5,1964,12
1/1/65,4.9,1965,1
2/1/65,5.1,1965,2
3/1/65,4.7,1965,3
4/1/65,4.8,1965,4
5/1/65,4.6,1965,5
6/1/65,4.6,1965,6
7/1/65,4.4,1965,7
8/1/65,4.4,1965,8
9/1/65,4.3,1965,9
10/1/65,4.2,1965,10
11/1/65,4.1,1965,11
12/1/65,4,1965,12
1/1/66,4,1966,1
2/1/66,3.8,1966,2
3/1/66,3.8,1966,3
4/1/66,3.8,1966,4
5/1/66,3.9,1966,5
6/1/66,3.8,1966,6
7/1/66,3.8,1966,7
8/1/66,3.8,1966,8
9/1/66,3.7,1966,9
10/1/66,3.7,1966,10
11/1/66,3.6,1966,11
12/1/66,3.8,1966,12
1/1/67,3.9,1967,1
2/1/67,3.8,1967,2
3/1/67,3.8,1967,3
4/1/67,3.8,1967,4
5/1/67,3.8,1967,5
6/1/67,3.9,1967,6
7/1/67,3.8,1967,7
8/1/67,3.8,1967,8
9/1/67,3.8,1967,9
10/1/67,4,1967,10
11/1/67,3.9,1967,11
12/1/67,3.8,1967,12
1/1/68,3.7,1968,1
2/1/68,3.8,1968,2
3/1/68,3.7,1968,3
4/1/68,3.5,1968,4
5/1/68,3.5,1968,5
6/1/68,3.7,1968,6
7/1/68,3.7,1968,7
8/1/68,3.5,1968,8
9/1/68,3.4,1968,9
10/1/68,3.4,1968,10
11/1/68,3.4,1968,11
12/1/68,3.4,1968,12
1/1/69,3.4,1969,1
2/1/69,3.4,1969,2
3/1/69,3.4,1969,3
4/1/69,3.4,1969,4
5/1/69,3.4,1969,5
6/1/69,3.5,1969,6
7/1/69,3.5,1969,7
8/1/69,3.5,1969,8
9/1/69,3.7,1969,9
10/1/69,3.7,1969,10
11/1/69,3.5,1969,11
12/1/69,3.5,1969,12
1/1/70,3.9,1970,1
2/1/70,4.2,1970,2
3/1/70,4.4,1970,3
4/1/70,4.6,1970,4
5/1/70,4.8,1970,5
6/1/70,4.9,1970,6
7/1/70,5,1970,7
8/1/70,5.1,1970,8
9/1/70,5.4,1970,9
10/1/70,5.5,1970,10
11/1/70,5.9,1970,11
12/1/70,6.1,1970,12
1/1/71,5.9,1971,1
2/1/71,5.9,1971,2
3/1/71,6,1971,3
4/1/71,5.9,1971,4
5/1/71,5.9,1971,5
6/1/71,5.9,1971,6
7/1/71,6,1971,7
8/1/71,6.1,1971,8
9/1/71,6,1971,9
10/1/71,5.8,1971,10
11/1/71,6,1971,11
12/1/71,6,1971,12
1/1/72,5.8,1972,1
2/1/72,5.7,1972,2
3/1/72,5.8,1972,3
4/1/72,5.7,1972,4
5/1/72,5.7,1972,5
6/1/72,5.7,1972,6
7/1/72,5.6,1972,7
8/1/72,5.6,1972,8
9/1/72,5.5,1972,9
10/1/72,5.6,1972,10
11/1/72,5.3,1972,11
12/1/72,5.2,1972,12
1/1/73,4.9,1973,1
2/1/73,5,1973,2
3/1/73,4.9,1973,3
4/1/73,5,1973,4
5/1/73,4.9,1973,5
6/1/73,4.9,1973,6
7/1/73,4.8,1973,7
8/1/73,4.8,1973,8
9/1/73,4.8,1973,9
10/1/73,4.6,1973,10
11/1/73,4.8,1973,11
12/1/73,4.9,1973,12
1/1/74,5.1,1974,1
2/1/74,5.2,1974,2
3/1/74,5.1,1974,3
4/1/74,5.1,1974,4
5/1/74,5.1,1974,5
6/1/74,5.4,1974,6
7/1/74,5.5,1974,7
8/1/74,5.5,1974,8
9/1/74,5.9,1974,9
10/1/74,6,1974,10
11/1/74,6.6,1974,11
12/1/74,7.2,1974,12
1/1/75,8.1,1975,1
2/1/75,8.1,1975,2
3/1/75,8.6,1975,3
4/1/75,8.8,1975,4
5/1/75,9,1975,5
6/1/75,8.8,1975,6
7/1/75,8.6,1975,7
8/1/75,8.4,1975,8
9/1/75,8.4,1975,9
10/1/75,8.4,1975,10
11/1/75,8.3,1975,11
12/1/75,8.2,1975,12
1/1/76,7.9,1976,1
2/1/76,7.7,1976,2
3/1/76,7.6,1976,3
